"FECHA_OPERACION","CONCESION","OPERADOR","MUNICIPIO_ORIGEN","LATITUD_ORIGEN","LONGITUD_ORIGEN","MUNICIPIO_DESTINO","LATITUD_DESTINO","LONGITUD_DESTINO","TIPO_CARGA","PRODUCTO","PESO","RED","VAGONES_CARGA","VAGONES_PASAJEROS","CANTIDAD_PASAJEROS"
"2023 Oct 13 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.449","PUBLICO","150","0","0"
"2023 Sep 06 12:00:00 AM","FENOCO S.A","DRUMMOND","LA LOMA","9,61837950111","-73,6006838538","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.466","PUBLICO","150","0","0"
"2023 Aug 26 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.525","PUBLICO","150","0","0"
"2023 Sep 02 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.506","PUBLICO","150","0","0"
"2023 Sep 14 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","9","554"
"2023 Sep 14 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","9","554"
"2023 Sep 14 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","9","554"
"2023 Sep 14 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","9","554"
"2023 Sep 14 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","9","554"
"2023 Sep 14 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","9","554"
"2023 Aug 29 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.506","PUBLICO","150","0","0"
"2023 Sep 24 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.519","PUBLICO","150","0","0"
"2023 Aug 23 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.506","PUBLICO","150","0","0"
